cycle_id,timestamp_start_ms,timestamp_end_ms,dt_target_ms,loop_latency_ms,jitter_ms,deadline_ms,late_flag,controller_mode,scenario_id,r,y,e,u,sat_flag,rx_seq,tx_seq,jitter
93,1849.4477,1864.1259,20,14.6782000000001,0,20,0,PI,none yet,30,21.2449351897551,8.75506481024487,1,0,29,38,-5.32179999999994
94,1866.0289,1878.3567,20,12.3278,0,20,0,PI,none yet,30,21.2572003841859,8.74279961581414,1,0,29,38,-7.67219999999998
95,1880.0838,1894.2626,20,14.1788000000001,0,20,0,PI,none yet,30,21.2694287830333,8.7305712169667,1,0,29,38,-5.82119999999986
96,1896.0115,1910.0148,20,14.0032999999999,0,20,0,PI,none yet,30,21.2816204966842,8.7183795033158,1,0,29,38,-5.99670000000015
97,1911.6789,1932.3911,20,20.7121999999999,0,20,1,PI,none yet,30,21.2937756351941,8.70622436480585,1,0,29,38,0.712199999999939
98,1934.1656,1941.9274,20,7.76179999999999,0,20,0,PI,none yet,30,21.3058943082886,8.69410569171144,1,0,29,38,-12.2382
99,1944.1389,1956.042,20,11.9031000000002,0,20,0,PI,none yet,30,21.3179766253637,8.6820233746363,1,0,29,38,-8.09689999999978
100,1968.5291,2001.216,20,32.6868999999999,0,20,1,PI,none yet,30,21.3300226954876,8.66997730451239,1,0,30,39,12.6868999999999
101,2002.9805,2032.342,20,29.3614999999998,0,20,1,PI,none yet,30,21.3420326274011,8.65796737259886,1,0,30,39,9.36149999999975
102,2034.3459,2048.0353,20,13.6894,0,20,0,PI,none yet,30,21.3540065295189,8.64599347048106,1,0,30,39,-6.31060000000002
103,2049.8136,2063.6532,20,13.8396000000002,0,20,0,PI,none yet,30,21.3659445099304,8.63405549006962,1,0,30,39,-6.16039999999975
104,2066.1008,2082.8178,20,16.7169999999996,0,20,0,PI,none yet,30,21.3778466764006,8.62215332359941,1,0,30,39,-3.28300000000036
105,2084.6452,2094.0786,20,9.43339999999944,0,20,0,PI,none yet,30,21.3897131363714,8.61028686362862,1,0,30,39,-10.5666000000006
106,2096.0341,2109.2536,20,13.2195000000002,0,20,0,PI,none yet,30,21.4015439969623,8.59845600303773,1,0,30,39,-6.78049999999985
107,2111.1012,2139.2584,20,28.1572000000006,0,20,1,PI,none yet,30,21.4133393649714,8.58666063502861,1,0,30,39,8.15720000000056
108,2141.899,2156.4001,20,14.5011,0,20,0,PI,none yet,30,21.4250993468765,8.57490065312353,1,0,30,39,-5.49890000000005
109,2158.1157,2186.1602,20,28.0445,0,20,1,PI,none yet,30,21.4368240488358,8.56317595116416,1,0,30,39,8.04449999999997
110,2188.0123,2203.4991,20,15.4868000000001,0,20,0,PI,none yet,30,21.4485135766893,8.55148642331067,1,0,30,39,-4.51319999999987
111,2205.2659,2219.2205,20,13.9545999999996,0,20,0,PI,none yet,30,21.4601680359593,8.53983196404074,1,0,30,39,-6.04540000000043
112,2220.97,2234.769,20,13.7990000000004,0,20,0,PI,none yet,30,21.4717875318514,8.52821246814861,1,0,30,39,-6.20099999999957
113,2236.5809,2250.4951,20,13.9142000000002,0,20,0,PI,none yet,30,21.4833721692558,8.51662783074417,1,0,30,39,-6.08579999999984
114,2252.3054,2280.9892,20,28.6837999999998,0,20,1,PI,none yet,30,21.4949220527481,8.50507794725193,1,0,30,39,8.68379999999979
